Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
Puerto Rico,2846860,2774305,8870,-97986.0,,44.0,72555,0.02615249585031206,Low
Lithuania,2715340,2678002,62674,-32780.0,,45.0,37338,0.01394248398619568,Low
Bulgaria,6939018,6887344,108560,-4800.0,,45.0,51674,0.007502747067664981,Low
Bosnia and Herzegovina,3277152,3256971,51000,-21585.0,,43.0,20181,0.006196247986242432,Low
Ukraine,43686577,43426701,579320,10000.0,,41.0,259876,0.005984244578007434,Low
Saint Pierre & Miquelon,5789,5761,230,,,,28,0.004860267314702308,Low
Serbia,8731081,8696217,87460,4000.0,,42.0,34864,0.0040090995889362005,Low
Japan,126407422,126023582,364555,71560.0,,48.0,383840,0.003045779162188867,Low
Venezuela,28421581,28341692,882050,-653249.0,,30.0,79889,0.002818780191387303,Low
Moldova,4032294,4022994,32850,-1387.0,,38.0,9300,0.002311711128577373,Low
Georgia,3987805,3980207,69490,-10000.0,,38.0,7598,0.0019089459417562956,Low
Italy,60446035,60357786,294140,148943.0,,47.0,88249,0.0014620980299045428,Low
Albania,2877239,2874119,27400,-14000.0,,36.0,3120,0.001085550041595355,Low
Cuba,11325391,11318524,106440,-14400.0,,42.0,6867,0.0006067045491090535,Low
Gibraltar,33689,33679,10,,,,10,0.00029692092995635264,High
Montenegro,628080,628159,13450,-480.0,,39.0,-79,-0.00012576433673639953,Low
Guadeloupe,400136,400204,1690,-1440.0,,44.0,-68,-0.00016991334419446083,Low
Russia,145945524,146007730,16376870,182456.0,,40.0,-62206,-0.00042604593606105647,Low
Montserrat,4993,4996,100,,,,-3,-0.0006004803843074459,Low
South Korea,51276977,51320854,97230,11731.0,,44.0,-43877,-0.0008549545960400425,High
Barbados,287437,287787,430,-79.0,,40.0,-350,-0.0012161772421964857,High
Andorra,77287,77410,470,,,,-123,-0.0015889419971579898,Low
Greenland,56787,56885,410450,,,,-98,-0.00172277401775512,Low
Czech Republic (Czechia),10712481,10732253,77240,22011.0,,43.0,-19772,-0.0018422972324636775,Low
San Marino,33944,34015,60,,,,-71,-0.0020873144201087757,High
France,65298930,65442713,547557,36527.0,,42.0,-143783,-0.0021970818966505867,Low
Holy See,801,803,0,,,,-2,-0.0024906600249066002,High
Malta,441750,442921,320,900.0,,43.0,-1171,-0.0026438123277062954,High
Saint Helena,6080,6098,390,,,,-18,-0.0029517874713020664,Low
St. Vincent & Grenadines,111002,111353,390,-200.0,,33.0,-351,-0.0031521377960180685,Low
Trinidad and Tobago,1400283,1404798,5130,-800.0,,36.0,-4515,-0.0032139852135324794,Low
Denmark,5795780,5816106,42430,15200.0,,42.0,-20326,-0.0034947781213065924,Low
China,1440297825,1445837915,9388211,-348399.0,,38.0,-5540090,-0.003831750393680885,Low
Sri Lanka,21428970,21518486,62710,-97986.0,,34.0,-89516,-0.004159958093706035,Low
Belgium,11598451,11648746,30280,48000.0,,42.0,-50295,-0.004317632129673014,Low
North Korea,25798588,25911243,120410,-5403.0,,35.0,-112655,-0.004347726583398565,Low
Grenada,112614,113134,340,-200.0,,32.0,-520,-0.004596319408842611,Low
Guyana,787215,791001,196850,-6000.0,,27.0,-3786,-0.004786340345966693,Low
United Kingdom,67948282,68304121,241930,260650.0,,40.0,-355839,-0.005209627102880074,Low
Austria,9015361,9066657,82409,65000.0,,43.0,-51296,-0.005657653090880134,Low
United States,331341050,333278784,9147420,954806.0,,38.0,-1937734,-0.005814153474587809,Low
Seychelles,98453,99061,460,-200.0,,34.0,-608,-0.006137632367934909,Low
Nauru,10836,10904,20,,,,-68,-0.0062362435803374906,High
Samoa,198643,199960,2830,-2803.0,,22.0,-1317,-0.006586317263452691,Low
Myanmar,54473253,54837633,653290,-163313.0,,29.0,-364380,-0.006644706929637171,Low
Niue,1628,1639,260,,,,-11,-0.006711409395973154,Low
Monaco,39290,39568,1,,,,-278,-0.007025879498584715,High
Réunion,896422,902807,2500,-1256.0,,36.0,-6385,-0.007072386456906072,Low
Cyprus,1208886,1217670,9240,5000.0,,37.0,-8784,-0.007213777131735199,Low
Norway,5428594,5470978,365268,28000.0,,40.0,-42384,-0.00774706094595884,Low
Lesotho,2145194,2162175,30360,-10047.0,,24.0,-16981,-0.007853665868858904,Low
New Zealand,4829021,4868191,263310,14881.0,,38.0,-39170,-0.008046109941043808,Low
Chile,19144605,19308768,743532,111708.0,,35.0,-164163,-0.008501992462698811,Low
Guam,169031,170512,540,-506.0,,31.0,-1481,-0.00868560570517031,Low
Suriname,587541,592801,156000,-1000.0,,29.0,-5260,-0.008873129431293132,Low
Azerbaijan,10154978,10246437,82658,1200.0,,32.0,-91459,-0.008925932009341393,Low
Argentina,45267449,45682546,2736690,4800.0,,32.0,-415097,-0.00908655572743253,Low
Caribbean Netherlands,26265,26509,328,,,,-244,-0.009204421139990192,Low
Brunei,438202,442396,5270,0.0,,32.0,-4194,-0.009480194215137568,Low
India,1382345085,1395931716,2973190,-532687.0,,28.0,-13586631,-0.00973301977759491,Low
Bangladesh,164972348,166615570,130170,-369501.0,,28.0,-1643222,-0.009862355600980149,High
Eswatini,1162233,1174267,17200,-8353.0,,21.0,-12034,-0.01024809519470444,Low
Micronesia,115231,116439,700,-600.0,,24.0,-1208,-0.01037453087024107,Low
Indonesia,274021604,276919651,1811570,-98955.0,,30.0,-2898047,-0.010465299192508371,Low
Turkey,84495243,85404695,769630,283922.0,,32.0,-909452,-0.010648735412028577,Low
Bhutan,773069,781585,38117,320.0,,28.0,-8516,-0.010895807877582092,Low
Tonga,105901,107102,720,-800.0,,22.0,-1201,-0.011213609456406043,Low
Australia,25550683,25847369,7682300,158246.0,,38.0,-296686,-0.01147838296423903,Low
Cayman Islands,65854,66628,240,,,,-774,-0.011616737707870564,Low
Nicaragua,6638075,6717127,120340,-21272.0,,26.0,-79052,-0.011768721955085857,Low
United Arab Emirates,9910892,10030765,83600,40000.0,,33.0,-119873,-0.011950534181590337,Low
Paraguay,7147553,7235455,397300,-16556.0,,26.0,-87902,-0.012148786772912,Low
Tokelau,1360,1377,10,,,,-17,-0.012345679012345678,Low
Iran,84176929,85255972,1628550,-55000.0,,32.0,-1079043,-0.01265650927069367,Low
Philippines,109830324,111294787,298170,-67152.0,,26.0,-1464463,-0.013158415047777575,Low
Libya,6887247,6981087,1759540,-1999.0,,29.0,-93840,-0.013442032737881651,Low
Bolivia,11700207,11860128,1083300,-9504.0,,26.0,-159921,-0.013483918554673272,Low
Eritrea,3554797,3604101,101000,-39858.0,,19.0,-49304,-0.013679971787694074,Low
Uzbekistan,33551824,34039311,425400,-8863.0,,28.0,-487487,-0.014321294576144623,Low
Djibouti,990447,1004887,23180,900.0,,27.0,-14440,-0.014369774910014758,Low
Turkmenistan,6046292,6135403,469930,-5000.0,,27.0,-89111,-0.014524066308276734,Low
Ecuador,17688599,17957991,248360,36400.0,,28.0,-269392,-0.015001232598902629,Low
Saudi Arabia,34905942,35451285,2149690,134979.0,,32.0,-545343,-0.01538288386443538,Low
Panama,4326296,4394624,74340,11200.0,,30.0,-68328,-0.015548087845513063,Low
Mongolia,3287242,3340365,1553560,-852.0,,28.0,-53123,-0.015903351879210804,Low
Kyrgyzstan,6542426,6650771,191800,-4000.0,,26.0,-108345,-0.016290592474165776,Low
Saint Martin,38778,39442,53,,,,-664,-0.016834846103138786,High
Maldives,542151,551742,300,11370.0,,30.0,-9591,-0.017383124721337146,High
Algeria,43984569,44782559,2381740,-10000.0,,29.0,-797990,-0.017819213948894703,Low
Belize,398845,406120,22810,1200.0,,25.0,-7275,-0.01791342460356545,Low
Sao Tome & Principe,219844,223947,960,-1680.0,,19.0,-4103,-0.018321299235979943,Low
Papua New Guinea,8975531,9146446,452860,-800.0,,22.0,-170915,-0.01868649309250828,Low
Pakistan,221612785,225939807,770880,-233379.0,,23.0,-4327022,-0.019151215792620378,Low
Sierra Leone,8004158,8167926,72180,-4200.0,,19.0,-163768,-0.020050132677499773,Low
Comoros,872695,891410,1861,-2000.0,,20.0,-18715,-0.020994828417899732,Low
Kenya,53968739,55166062,569140,-10000.0,,20.0,-1197323,-0.02170397807260558,Low
Tajikistan,9573310,9789937,139960,-20000.0,,22.0,-216627,-0.02212751726594359,Low
State of Palestine,5121112,5241106,6020,-10563.0,,21.0,-119994,-0.022894785947851465,High
Vanuatu,308337,315600,12190,120.0,,21.0,-7263,-0.023013307984790874,Low
Liberia,5077411,5197718,96320,-5000.0,,19.0,-120307,-0.02314611912381549,Low
Guinea-Bissau,1975718,2022797,28120,-1399.0,,19.0,-47079,-0.023274208929516902,Low
Syria,17571053,18001576,183630,-427391.0,,26.0,-430523,-0.023915850478869183,Low
Western Sahara,599769,614645,266000,5582.0,,28.0,-14876,-0.024202588486036656,Low
Côte d'Ivoire,26486282,27148012,318000,-8000.0,,19.0,-661730,-0.024374897137956177,Low
Nigeria,206984347,212160337,910770,-60000.0,,18.0,-5175990,-0.02439659586325035,Low
Cameroon,26655083,27324566,472710,-4800.0,,19.0,-669483,-0.024501139377657452,Low
Madagascar,27808395,28530106,581795,-1500.0,,20.0,-721711,-0.025296471033090448,Low
French Guiana,299958,307808,82200,1200.0,,25.0,-7850,-0.025502910905499533,Low
Mauritania,4669775,4793737,1030700,5000.0,,20.0,-123962,-0.0258591574798534,Low
Guinea,13191279,13552828,245720,-4000.0,,18.0,-361549,-0.026677015306325734,Low
Somalia,15965848,16416165,627340,-40000.0,,17.0,-450317,-0.02743131541380097,Low
Mozambique,31398811,32288210,786380,-5000.0,,18.0,-889399,-0.027545627335798423,Low
Tanzania,60012400,61741155,885800,-40076.0,,18.0,-1728755,-0.02800004308309425,Low
Mali,20346106,20938908,1220190,-40000.0,,16.0,-592802,-0.028311027490067774,Low
Burundi,11948454,12308658,25680,2001.0,,17.0,-360204,-0.029264278851520612,Low
Angola,33032075,34073052,1246700,6413.0,,17.0,-1040977,-0.030551328363540783,Low
Equatorial Guinea,1410419,1457418,28050,16000.0,,22.0,-46999,-0.03224812648121541,Low
Niger,24346468,25242397,1266700,4000.0,,15.0,-895929,-0.035493023899433956,Low
